timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
223052735,14.828281,14.767067,8.3576,7.8902707,0.0,417.3952,0.4039684,1.108641,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
223562336,14.649304,14.794974,6.9315996,7.5055394,0.0,418.43198,0.40390408,1.1072248,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
224063360,14.935667,14.813538,6.7208,7.4072914,0.0,419.46216,0.40388608,1.1062094,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
224562423,15.016207,14.82312,7.006,7.5168395,0.0,420.51196,0.40388608,1.1056478,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
225062346,14.864076,14.845378,6.758,7.144258,0.0,421.48215,0.40394604,1.1045976,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
225562333,14.711945,14.824871,7.5392003,7.728211,0.0,422.6021,0.40396965,1.1057756,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
226072625,14.702996,14.795336,8.0724,8.015548,0.0,423.7695,0.4039327,1.1074591,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
226572511,14.685099,14.769603,8.6552,8.30948,0.0,424.9455,0.40381545,1.1089306,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
227072678,14.711945,14.735579,10.044,9.072016,0.0,426.24814,0.40364432,1.1103096,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
227572578,14.890923,14.692306,10.664,9.626979,0.0,427.62964,0.40334547,1.1125245,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
228073479,14.532968,14.669981,8.7048,9.459734,0.0,428.94284,0.40299657,1.1136856,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
228572609,14.694048,14.700459,9.039599,8.711259,0.0,430.09894,0.40271077,1.1119641,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
229072699,14.613508,14.69866,10.106,8.646695,0.0,431.29413,0.40245545,1.112378,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
229582371,14.756689,14.717818,8.1592,8.341951,0.0,432.47253,0.40217662,1.1118008,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
230082411,14.407684,14.650959,10.6268,9.427858,0.0,433.87592,0.4017773,1.1155018,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
